column_name,data_type,required,description,example
ladder_id,string,yes,Stable internal ladder identifier for one canonicalized light-curve object and band.,B_SN1987A_V
source_id,string,yes,"Primary source used for the row, usually B1, B2, or B3.",B1
source_name,string,yes,Human-readable source name.,Open Supernova Catalog / AstroCats
object_name,string,yes,Canonical supernova or transient name.,SN 1987A
alias_names,string_list,no,Known aliases or survey names separated by semicolon.,1987A; Sanduleak -69 202
supernova_type,string,yes,Classification label from OSC/TNS/literature.,IIpec
classification_source,string,no,Source used for classification authority.,TNS
ra_deg,float,no,Right ascension in decimal degrees.,83.86675
dec_deg,float,no,Declination in decimal degrees.,-69.26975
redshift,float,no,Redshift if available.,0.0009
host_galaxy,string,no,Host galaxy name if available.,Large Magellanic Cloud
band,string,yes,Photometric band/filter for this ladder.,V
stage_index,integer,yes,Ordered stage index within the canonical light-curve ladder.,3
phase_name,controlled_string,yes,Canonical light-curve stage name.,early_decline
time_mjd,float,yes,Observation time in Modified Julian Date.,46850.5
time_since_discovery_days,float,no,Days relative to discovery date.,12.4
time_since_peak_days,float,no,Days relative to estimated peak in the same band.,3.1
brightness_value,float,yes,Magnitude or flux value as supplied or converted.,4.87
brightness_unit,controlled_string,yes,Unit convention for brightness_value.,mag
brightness_error,float,no,Measurement uncertainty if available.,0.03
detection_flag,string,no,Detection/upper-limit/quality marker from source.,detection
quality_flag,string,no,Survey or local quality flag used during filtering.,usable
slope_local,float,no,Local first-difference brightness trend after canonicalization.,-0.042
curvature_local,float,no,Local second-difference / curvature proxy after canonicalization.,0.006
transition_marker,controlled_string,no,"Local event marker for slope break, plateau onset, tail onset, or other transition.",plateau_onset
boundary_role,controlled_string,yes,UNNS boundary-dynamics role of this light-curve stage.,post_boundary_relaxation
support_regime_proxy,controlled_string,no,Coarse physical/structural regime inferred from light-curve behavior.,ejecta_cooling
struc_perc_role,controlled_string,yes,Role of the row in STRUC_PERC_I ladder construction.,observable_ladder_state
unns_interpretation,string,yes,Short UNNS interpretation of this stage.,post-collapse brightness relaxation after boundary failure
raw_reference,string,no,"Pointer to raw JSON/CSV row, URL, file, or source reference.",B1_OSC_repo/output/catalog.json::SN1987A
